fs,iata,icao,faa,name,city,cityCode,countryCode,countryName,regionName,timeZoneRegionName,weatherZone,localTime,utcOffsetHours,latitude,longitude,elevationFeet,classification,active,street1,district,stateCode,postalCode,street2
DMK,DMK,VTBD,,Don Mueang International Airport,Bangkok,BKK,TH,Thailand,Asia,Asia/Bangkok,,2020-02-29T08:55:02.329,7.0,13.9125,100.606667,9,2,True,,,,,
BKK,BKK,VTBS,,Suvarnabhumi Airport,Bangkok,BKK,TH,Thailand,Asia,Asia/Bangkok,,2020-02-29T08:54:51.737,7.0,13.693062,100.752044,9,1,True,,,,,
DPS,DPS,WADD,,Ngurah Rai International Airport,Denpasar,DPS,ID,Indonesia,Asia,Asia/Makassar,,2020-02-29T09:54:51.737,8.0,-8.748056,115.1675,7,2,True,,,,,
MLE,MLE,VRMM,,Velana International Airport,Male,MLE,MV,Maldives,Asia,Indian/Maldives,,2020-02-29T06:54:51.737,5.0,4.19183,73.529108,12,3,True,,,,,
HGH,HGH,ZSHC,,Hangzhou Xiaoshan International Airport,Hangzhou,HGH,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:54:51.737,8.0,30.236934,120.432356,20,1,True,14th Rd,Xiaoshan,,,
WUH,WUH,ZHHH,,Wuhan Tianhe International Airport,Wuhan,WUH,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,30.776789,114.217577,127,2,True,Tianhe St,Huangpi,,,
NKG,NKG,ZSNJ,,Nanjing Lukou International Airport,Nanjing,NKG,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:54:51.738,8.0,31.735737,118.86652,49,2,True,Yingbin Rd,Jiangning,,,
HKT,HKT,VTSP,,Phuket International Airport,Phuket,HKT,TH,Thailand,Asia,Asia/Bangkok,,2020-02-29T08:54:51.737,7.0,8.107619,98.306436,42,2,True,,,,,
CAN,CAN,ZGGG,,Guangzhou Baiyun International Airport,Guangzhou,CAN,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.239,8.0,23.387862,113.29734,36,1,True,Airport W Ave,Huadu,,,
FCO,FCO,LIRF,,Leonardo da Vinci-Fiumicino Airport,Rome,ROM,IT,Italy,Europe,Europe/Rome,,2020-02-29T02:54:51.738,1.0,41.794594,12.250346,14,1,True,,,,,
ICN,ICN,RKSI,,Incheon International Airport,Seoul,SEL,KR,Republic of Korea,Asia,Asia/Seoul,,2020-02-29T10:54:51.738,9.0,37.448526,126.451234,20,1,True,,,,,
LCK,LCK,KLCK,LCK,Rickenbacker International Airport,Columbus,CMH,US,United States,North America,America/New_York,OHZ055,2020-02-28T20:54:51.738,-5.0,39.817957,-82.935508,744,3,True,,,OH,,
ANC,ANC,PANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,ANC,US,United States,North America,America/Anchorage,AKZ101,2020-02-28T16:54:51.738,-9.0,61.174444,-149.996389,144,1,True,,,AK,99519-6960,
SIN,SIN,WSSS,,Changi International Airport,Singapore,SIN,SG,Singapore,Asia,Asia/Singapore,,2020-02-29T09:54:51.737,8.0,1.361173,103.990201,22,1,True,,,,,
CMB,CMB,VCBI,,Bandaranaike International Airport,Colombo,CMB,LK,Sri Lanka,Asia,Asia/Colombo,,2020-02-29T07:24:51.737,5.5,7.174112,79.886494,29,2,True,,,,,
PVG,PVG,ZSPD,,Shanghai Pudong International Airport,Shanghai,SHA,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,31.151824,121.799808,13,1,True,No.300 Qihang Road,Pudong,,,
NTG,NTG,,,Nantong Xingdong Airport,Nantong,NTG,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.239,8.0,32.072921,120.975605,16,4,True,Airport Rd.,Tongzhou,,,
TAO,TAO,ZSQD,,Qingdao Liuting International Airport,Qingdao,TAO,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,36.265884,120.382361,33,2,True,No.99 Minhang Road,Chengyang District,,,
CTU,CTU,ZUUU,,Chengdu Shuangliu International Airport,Chengdu,CTU,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,30.581134,103.956799,1624,1,True,Airport Expressway Entrance,Shuanglio,,,
SHA,SHA,ZSSS,,Shanghai Hongqiao International Airport,Shanghai,SHA,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,31.19779,121.333473,11,1,True,700 Yingbin 1st Rd,Changning,,,
SZX,SZX,ZGSZ,,Shenzhen Bao'an International Airport,Shenzhen,SZX,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,22.639444,113.810833,13,1,True,Airport 9th Rd,Bao'an,,,
SHE,SHE,ZYTX,,Shenyang Taoxian International Airport,Shenyang,SHE,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,41.634992,123.485731,195,2,True,2 Baishan East Rd,Huanggu,,,
BHY,BHY,ZGBH,,Beihai Fucheng Airport,Beihai,BHY,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,21.5431,109.288702,108,4,True,"G209, Hepu",,,,
KWE,KWE,ZUGY,,Guiyang Longdongbao International Airport,Guiyang,KWE,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,26.544217,106.79598,3737,2,True,No. 3 Rd,Nanming,,,
FOC,FOC,ZSFZ,,Changle International Airport,Fuzhou,FOC,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,25.931231,119.66923,46,2,True,Changye Rd,Changle,,,
FUK,FUK,RJFF,,Fukuoka Airport,Fukuoka,FUK,JP,Japan,Asia,Asia/Tokyo,,2020-02-29T10:55:02.103,9.0,33.584286,130.443891,30,1,True,"348 Kamiusui, Hakata Ward",Fukuoka Prefecture,,,Fukuoka Prefecture
CKG,CKG,ZUCK,,Chongqing Jiangbei International Airport,Chongqing,CKG,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,29.7192,106.641998,1365,1,True,Airport Expressway Entrance,Yubei,,,
YNT,YNT,ZSYT,,Penglai International Airport,Yantai,YNT,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,37.657222,120.987222,142,3,True,Konggang Rd.,Laishan,,,
KMG,KMG,ZPPP,,Kunming Changshui International Airport,Kunming,KMG,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,25.101944,102.929167,6840,1,True,004 County Rd,Guandu,,,
YNZ,YNZ,ZSYN,,Yancheng Nanyang International Airport,Yancheng,YNZ,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,33.431217,120.204406,5,4,True,Minhang Rd.,Tinghu,,,
UYN,UYN,,,Yulin Yuyang Airport,Yulin,UYN,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,38.361466,109.596181,3882,3,True,,Yuyang,,,
SYX,SYX,ZJSY,,Sanya Phoenix International Airport,Sanya,SYX,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,18.305276,109.40888,83,2,True,Fenghuang Rd,,,,
HAK,HAK,ZJHK,,Haikou Meilan International Airport,Haikou,HAK,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,19.934877,110.45896,67,2,True,Qiongwen Ave,Meilan,,,
HET,HET,ZBHH,,Hohhot Baita International Airport,Hohhot,HET,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.239,8.0,40.854712,111.814157,3556,2,True,Airport Expressway Side Rd.,Saihan,,,
PEK,PEK,ZBAA,,Beijing Capital International Airport,Beijing,BJS,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,40.078538,116.587095,115,1,True,Capital Airport Rd,Chaoyang,,,
XMN,XMN,ZSAM,,Xiamen Gaoqi International Airport,Xiamen,XMN,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,24.543064,118.134178,27,1,True,117 Xiangyun 1st Rd,Huli,,,
HRB,HRB,ZYHB,,Harbin Taiping International Airport,Harbin,HRB,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,45.620854,126.23644,456,2,True,Yingbin 1st Rd,Daoli,,,
DLC,DLC,ZYTL,,Dalian Zhoushuizi International Airport,Dalian,DLC,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.103,8.0,38.96102,121.539991,108,2,True,100 Yingke Road,Ganjingzi District,,,
HPG,HPG,,,Shennongjia Airport,Hongping,,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.239,8.0,31.63333,110.33778,8459,4,True,,,,,
ENH,ENH,,,Enshi Airport,Enshi,ENH,CN,China,Asia,Asia/Shanghai,,2020-02-29T09:55:02.329,8.0,30.321934,109.482012,1618,4,True,567 Shizhou Ave.,,,,
