flightId,carrierFsCode,operatingCarrierFsCode,primaryCarrierFsCode,flightNumber,departureAirportFsCode,arrivalAirportFsCode,status,codeshares,irregularOperations,departureDate.dateUtc,departureDate.dateLocal,arrivalDate.dateUtc,arrivalDate.dateLocal,schedule.flightType,schedule.serviceClasses,schedule.restrictions,schedule.uplines,schedule.downlines,operationalTimes.publishedDeparture.dateUtc,operationalTimes.publishedDeparture.dateLocal,operationalTimes.scheduledGateDeparture.dateUtc,operationalTimes.scheduledGateDeparture.dateLocal,operationalTimes.estimatedGateDeparture.dateUtc,operationalTimes.estimatedGateDeparture.dateLocal,operationalTimes.publishedArrival.dateUtc,operationalTimes.publishedArrival.dateLocal,operationalTimes.scheduledGateArrival.dateUtc,operationalTimes.scheduledGateArrival.dateLocal,operationalTimes.estimatedGateArrival.dateUtc,operationalTimes.estimatedGateArrival.dateLocal,delays.departureGateDelayMinutes,delays.arrivalGateDelayMinutes,flightDurations.scheduledBlockMinutes,airportResources.departureTerminal,airportResources.arrivalTerminal,flightEquipment.scheduledEquipmentIataCode,operationalTimes.actualGateDeparture.dateUtc,operationalTimes.actualGateDeparture.dateLocal,operationalTimes.estimatedRunwayDeparture.dateUtc,operationalTimes.estimatedRunwayDeparture.dateLocal,operationalTimes.actualRunwayDeparture.dateUtc,operationalTimes.actualRunwayDeparture.dateLocal,operationalTimes.actualGateArrival.dateUtc,operationalTimes.actualGateArrival.dateLocal,operationalTimes.estimatedRunwayArrival.dateUtc,operationalTimes.estimatedRunwayArrival.dateLocal,operationalTimes.actualRunwayArrival.dateUtc,operationalTimes.actualRunwayArrival.dateLocal,flightDurations.blockMinutes,flightDurations.airMinutes,flightDurations.taxiOutMinutes,flightDurations.taxiInMinutes,flightEquipment.actualEquipmentIataCode,flightEquipment.tailNumber,operationalTimes.flightPlanPlannedDeparture.dateUtc,operationalTimes.flightPlanPlannedDeparture.dateLocal,operationalTimes.scheduledRunwayDeparture.dateUtc,operationalTimes.scheduledRunwayDeparture.dateLocal,operationalTimes.flightPlanPlannedArrival.dateUtc,operationalTimes.flightPlanPlannedArrival.dateLocal,operationalTimes.scheduledRunwayArrival.dateUtc,operationalTimes.scheduledRunwayArrival.dateLocal,flightDurations.scheduledAirMinutes,flightDurations.scheduledTaxiOutMinutes,flightDurations.scheduledTaxiInMinutes,airportResources.arrivalGate,airportResources.baggage
1029671260,FD,FD,FD,571,WUH,DMK,U,[],[],2020-01-31T04:40:00.000Z,2020-01-31T12:40:00.000,2020-01-31T08:35:00.000Z,2020-01-31T15:35:00.000,J,Y,,[],[],2020-01-31T04:40:00.000Z,2020-01-31T12:40:00.000,2020-01-31T04:40:00.000Z,2020-01-31T12:40:00.000,2020-01-31T20:09:00.000Z,2020-02-01T04:09:00.000,2020-01-31T08:35:00.000Z,2020-01-31T15:35:00.000,2020-01-31T08:35:00.000Z,2020-01-31T15:35:00.000,2020-01-31T23:49:00.000Z,2020-02-01T06:49:00.000,929,914,235,3,T1,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029684720,JT*,JT*,JT*,2618,WUH,DPS,U,[],[],2020-01-31T09:05:00.000Z,2020-01-31T17:05:00.000,2020-01-31T14:55:00.000Z,2020-01-31T22:55:00.000,J,FY,,[],[],2020-01-31T09:05:00.000Z,2020-01-31T17:05:00.000,2020-01-31T09:05:00.000Z,2020-01-31T17:05:00.000,2020-01-31T20:13:00.000Z,2020-02-01T04:13:00.000,2020-01-31T14:55:00.000Z,2020-01-31T22:55:00.000,2020-01-31T14:55:00.000Z,2020-01-31T22:55:00.000,2020-02-01T02:06:00.000Z,2020-02-01T10:06:00.000,668,671,350,3,I,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029741038,UL,UL,UL,1423,WUH,CMB,L,[],[],2020-01-31T10:20:00.000Z,2020-01-31T18:20:00.000,2020-01-31T16:50:00.000Z,2020-01-31T22:20:00.000,,,,,,,,2020-01-31T10:20:00.000Z,2020-01-31T18:20:00.000,2020-01-31T20:05:00.000Z,2020-02-01T04:05:00.000,,,2020-01-31T16:50:00.000Z,2020-01-31T22:20:00.000,2020-02-01T02:28:00.000Z,2020-02-01T07:58:00.000,585,578,390,,T1,332,2020-01-31T20:05:00.000Z,2020-02-01T04:05:00.000,2020-01-31T20:21:00.000Z,2020-02-01T04:21:00.000,2020-01-31T20:21:00.000Z,2020-02-01T04:21:00.000,2020-02-01T02:28:00.000Z,2020-02-01T07:58:00.000,2020-02-01T02:12:00.000Z,2020-02-01T07:42:00.000,2020-02-01T02:12:00.000Z,2020-02-01T07:42:00.000,383,351,16,16,332,4R-ALS,,,,,,,,,,,,,
1029671258,FD,FD,FD,573,WUH,DMK,U,[],[],2020-01-31T13:20:00.000Z,2020-01-31T21:20:00.000,2020-01-31T17:05:00.000Z,2020-02-01T00:05:00.000,J,Y,,[],[],2020-01-31T13:20:00.000Z,2020-01-31T21:20:00.000,2020-01-31T13:20:00.000Z,2020-01-31T21:20:00.000,2020-01-31T20:07:00.000Z,2020-02-01T04:07:00.000,2020-01-31T17:05:00.000Z,2020-02-01T00:05:00.000,2020-01-31T17:05:00.000Z,2020-02-01T00:05:00.000,2020-01-31T23:25:00.000Z,2020-02-01T06:25:00.000,407,380,225,3,T1,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029778430,FD,FD,FD,809,WUH,HKT,C,[],"[{'type': 'CANCELLATION', 'dateUtc': '2020-02-01T01:14:54.475Z'}]",2020-01-31T16:10:00.000Z,2020-02-01T00:10:00.000,2020-01-31T20:40:00.000Z,2020-02-01T03:40:00.000,J,Y,,[],[],2020-01-31T16:10:00.000Z,2020-02-01T00:10:00.000,2020-01-31T16:10:00.000Z,2020-02-01T00:10:00.000,2020-01-31T20:18:00.000Z,2020-02-01T04:18:00.000,2020-01-31T20:40:00.000Z,2020-02-01T03:40:00.000,2020-01-31T20:40:00.000Z,2020-02-01T03:40:00.000,2020-02-01T01:32:00.000Z,2020-02-01T08:32:00.000,248,292,270,3,2,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029805107,O3,O3,O3,6955,WUH,HGH,U,[],[],2020-01-31T16:15:00.000Z,2020-02-01T00:15:00.000,2020-01-31T17:35:00.000Z,2020-02-01T01:35:00.000,F,,,[],[],2020-01-31T16:15:00.000Z,2020-02-01T00:15:00.000,2020-01-31T16:15:00.000Z,2020-02-01T00:15:00.000,,,2020-01-31T17:35:00.000Z,2020-02-01T01:35:00.000,2020-01-31T17:35:00.000Z,2020-02-01T01:35:00.000,,,,,80,,,73F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029808606,Q2,Q2,Q2,365,WUH,BKK,U,[],[],2020-01-31T16:35:00.000Z,2020-02-01T00:35:00.000,2020-01-31T20:25:00.000Z,2020-02-01T03:25:00.000,J,RFJY,I,[],"[{'fsCode': 'MLE', 'flightId': 1029808613}]",2020-01-31T16:35:00.000Z,2020-02-01T00:35:00.000,2020-01-31T16:35:00.000Z,2020-02-01T00:35:00.000,2020-01-31T20:12:00.000Z,2020-02-01T04:12:00.000,2020-01-31T20:25:00.000Z,2020-02-01T03:25:00.000,2020-01-31T20:25:00.000Z,2020-02-01T03:25:00.000,2020-01-31T23:28:00.000Z,2020-02-01T06:28:00.000,217,183,230,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029818397,TR,TR,TR,121,WUH,SIN,C,"[{'fsCode': 'MI', 'flightNumber': '8449', 'relationship': 'L'}, {'fsCode': 'SQ', 'flightNumber': '8449', 'relationship': 'L'}]","[{'type': 'CANCELLATION', 'dateUtc': '2020-02-01T01:13:31.543Z'}]",2020-01-31T16:40:00.000Z,2020-02-01T00:40:00.000,2020-01-31T21:30:00.000Z,2020-02-01T05:30:00.000,J,RFJY,,[],[],2020-01-31T16:40:00.000Z,2020-02-01T00:40:00.000,2020-01-31T16:40:00.000Z,2020-02-01T00:40:00.000,2020-01-31T20:17:00.000Z,2020-02-01T04:17:00.000,2020-01-31T21:30:00.000Z,2020-02-01T05:30:00.000,2020-01-31T21:30:00.000Z,2020-02-01T05:30:00.000,2020-02-01T00:42:00.000Z,2020-02-01T08:42:00.000,217,192,290,,1,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029659660,CZ,CZ,CZ,645,WUH,FCO,U,"[{'fsCode': 'AZ', 'flightNumber': '7911', 'relationship': 'L'}]",[],2020-01-31T17:00:00.000Z,2020-02-01T01:00:00.000,2020-02-01T05:15:00.000Z,2020-02-01T06:15:00.000,J,RFJY,,"[{'fsCode': 'CAN', 'flightId': 1029659628}]",[],2020-01-31T17:00:00.000Z,2020-02-01T01:00:00.000,2020-01-31T17:00:00.000Z,2020-02-01T01:00:00.000,,,2020-02-01T05:15:00.000Z,2020-02-01T06:15:00.000,2020-02-01T05:15:00.000Z,2020-02-01T06:15:00.000,,,,,735,,3,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029766862,8Y*,8Y*,8Y*,9015,WUH,NKG,U,[],[],2020-01-31T17:35:00.000Z,2020-02-01T01:35:00.000,2020-01-31T18:40:00.000Z,2020-02-01T02:40:00.000,F,,,[],[],2020-01-31T17:35:00.000Z,2020-02-01T01:35:00.000,2020-01-31T17:35:00.000Z,2020-02-01T01:35:00.000,,,2020-01-31T18:40:00.000Z,2020-02-01T02:40:00.000,2020-01-31T18:40:00.000Z,2020-02-01T02:40:00.000,,,,,65,,,73F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
